Symbol	RNA
A1CF	NM_001198819.1
A1CF	NM_014576.4
A1CF	NM_138932.3
A1CF	NM_138933.3
A1CF	NM_001198818.2
A1CF	NM_001198819.2
A1CF	NM_001198820.2
A1CF	NM_001370130.1
A1CF	NM_001370131.1
A2M	NM_000014.5
A2M	NM_000014.6
A2M	NM_001347423.2
A2M	NM_001347424.2
A2M	NM_001347425.2
A2ML1	NM_144670.5
A2ML1	NM_144670.6
A2ML1	NM_001282424.3
A4GALT	NM_017436.7
A4GALT	NR_146459.3
A4GALT	NM_001318038.3
AAAS	NM_015665.6
AAAS	NM_001173466.2
AAGAB	NM_001271885.1
AAGAB	NM_024666.5
AAGAB	NM_001271885.2
AAGAB	NM_001271886.2
AAMP	NM_001087.5
AAMP	NM_001302545.2
AANAT	NM_001166579.1
AANAT	NR_110548.2
AANAT	NM_001088.3
AANAT	NM_001166579.2
AARS1	NM_001605.3
AARS1	NM_001605.2
AARS2	NM_020745.3
AARS2	NM_020745.4
AASDH	NM_181806.4
AASDH	NM_001286668.2
AASDH	NM_001286669.1
AASDH	NM_001286670.2
AASDH	NM_001286671.1
AASDH	NM_001286672.1
AASDH	NM_001286669.2
AASDH	NM_001286671.2
AASDH	NM_001286672.2
AASDH	NM_001323890.2
AASDH	NM_001323892.2
AASDH	NM_001323893.2
AASDH	NM_001323899.2
AASS	NM_005763.4
AATK	NM_001080395.3
AATK	NM_004920.3
ABAT	NM_020686.6
ABAT	NM_000663.5
ABAT	NM_001127448.2
ABAT	NM_001386600.1
ABAT	NM_001386601.1
ABAT	NM_001386602.1
ABAT	NM_001386603.1
ABAT	NM_001386604.1
ABAT	NM_001386605.1
ABAT	NM_001386606.1
ABAT	NM_001386607.1
ABAT	NM_001386608.1
ABAT	NM_001386609.1
ABAT	NM_001386610.1
ABAT	NM_001386611.1
ABAT	NM_001386612.1
ABAT	NM_001386613.1
ABAT	NM_001386614.1
ABAT	NM_001386615.1
ABAT	NM_001386616.1
ABCA1	NM_005502.4
ABCA12	NM_173076.3
ABCA12	NR_103740.2
ABCA12	NM_015657.4
ABCA13	NM_152701.5
ABCA2	NM_212533.3
ABCA2	NM_001606.5
ABCA3	NM_001089.2
ABCA3	NM_001089.3
ABCA4	NM_000350.2
ABCA4	NM_000350.3
ABCA5	NM_172232.4
ABCA5	NM_018672.5
ABCA7	NM_019112.4
ABCB1	NM_000927.4
ABCB1	NM_000927.5
ABCB1	NM_001348944.2
ABCB1	NM_001348945.2
ABCB1	NM_001348946.2
ABCB11	NM_003742.4
ABCB4	NM_018849.3
ABCB4	NM_000443.4
ABCB4	NM_018850.3
ABCB6	NM_005689.4
ABCB6	NM_001349828.2
ABCB7	NM_001271697.3
ABCB7	NM_001271698.3
ABCB7	NM_001271699.3
ABCB7	NM_004299.6
ABCB7	NM_001271696.3
ABCC1	NM_004996.4
ABCC11	NM_032583.4
